gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000277526,LINC03021,0.20454545454545456,-0.000987823648094093,0.04057649740197676,-0.3970007304795301,0.691366921935617,,False
ENSG00000277527,LINC01796,0.0,,,,,,False
ENSG00000277531,PNMA8C,0.6704545454545454,-0.0025855710272223616,0.04124132654968987,-1.1504152351949768,0.24997288813304952,,False
ENSG00000277533,MIR8077,0.0,,,,,,False
ENSG00000277534,ENSG00000277534,1.000074419632773,1.9603595510912143e-06,0.040986418928311175,0.0006888843554315784,0.9994503498520964,,False
ENSG00000277535,CT47C1,0.0,,,,,,False
ENSG00000277539,ENSG00000277539,0.011363636363636364,0.00013933150863207412,0.058730862032466344,0.022140944423873606,0.9823355255450124,,False
ENSG00000277541,ZNF630-AS1,0.03409090909090909,0.00010373397367821937,0.04662401643743159,0.02874243193134213,0.9770700145470346,,False
ENSG00000277542,ENSG00000277542,0.0,,,,,,False
ENSG00000277543,ENSG00000277543,0.2727272727272727,0.0011193742405541792,0.04148816103798754,0.46511773719133626,0.6418471446350374,,False
ENSG00000277545,ENSG00000277545,0.5341653287236822,-0.0008605161796887352,0.04114100835892928,-0.43078755976386834,0.6666228458499264,,False
ENSG00000277548,ENSG00000277548,0.7500744196327731,-0.0011587378579223557,0.04108848762190812,-0.48572156232999014,0.6271645936581014,,False
ENSG00000277550,ENSG00000277550,0.7614008461800229,0.0008525852837124006,0.041125512003825915,0.362725384446134,0.7168100352912974,,False
ENSG00000277553,ENSG00000277553,0.0,,,,,,False
ENSG00000277556,OR13C5,0.0,,,,,,False
ENSG00000277558,ENSG00000277558,0.22727272727272727,-1.5873244597952717e-06,0.041275519051463296,0.0003517494105708383,0.9997193445818215,,False
ENSG00000277559,ENSG00000277559,1.056892601450955,-0.0002853785633032357,0.04096283381594172,-0.10190027820892404,0.9188358291346409,,False
ENSG00000277563,ENSG00000277563,0.26136363636363635,0.000276982789027408,0.04131589903364944,0.11498406231127677,0.9084577546816937,,False
ENSG00000277565,ENSG00000277565,0.0,,,,,,False
ENSG00000277566,ENSG00000277566,0.8636735734527502,1.4182322166565109e-06,0.041035800449055936,0.0006338091380128054,0.999494293508142,,False
ENSG00000277568,ENSG00000277568,0.2840909090909091,-0.0014089724354596608,0.041115100817619654,-0.5883131656729725,0.5563221101737029,,False
ENSG00000277569,MIR6134,0.0,,,,,,False
ENSG00000277572,ENSG00000277572,0.11363636363636363,-0.0003119408430219591,0.03950540614785587,-0.12099163337101003,0.9036976621121119,,False
ENSG00000277577,ENSG00000277577,0.0,,,,,,False
ENSG00000277578,Metazoa_SRP,0.4318181818181818,7.5390356308070666e-06,0.04119370033862527,0.0004530500321129486,0.9996385183864718,,False
ENSG00000277579,ENSG00000277579,0.011363636363636364,0.00013933150863207412,0.058730862032466344,0.022140944423873606,0.9823355255450124,,False
ENSG00000277581,ENSG00000277581,0.07954545454545454,-0.0001340608771054147,0.03981163736926497,-0.04696617108299818,0.9625401893264379,,False
ENSG00000277582,RN7SL428P,0.9773471469055004,-0.0005728251488304188,0.040992828450310645,-0.21275546518896243,0.8315177020361766,,False
ENSG00000277583,ENSG00000277583,0.011363636363636364,0.0001393315086320749,0.0587308620324664,0.022140944423873606,0.9823355255450124,,False
ENSG00000277586,NEFL,0.34094630072547744,0.00113757930147577,0.04138423454894842,0.503428706198563,0.6146628933024034,,False
ENSG00000277587,ENSG00000277587,0.7614380559964095,0.00024232667983269964,0.04108364096950716,0.12134671447293914,0.9034164205709082,,False
ENSG00000277588,MIR6806,0.03409090909090909,0.0003201529726101534,0.06825575681546621,0.08603425750235467,0.9314391846279062,,False
ENSG00000277589,ENSG00000277589,0.4432562378145912,-0.0008592022741103177,0.04116273129656526,-0.41981362271841677,0.6746216123527604,,False
ENSG00000277590,MIR7845,0.10227272727272728,0.0007277871489750052,0.04878648543038204,0.2803461146500501,0.77921197424535,,False
ENSG00000277591,RN7SL575P,0.2727272727272727,0.0005588095260537354,0.041359634921617185,0.23308722075531155,0.8156936779969566,,False
ENSG00000277592,Metazoa_SRP,0.5341281189072956,0.002020019493279447,0.04139890772254916,0.9905827501021996,0.32188936418249514,,False
ENSG00000277595,ENSG00000277595,0.5568926014509549,0.0014365170019236993,0.0412869228644072,0.7040404189979498,0.48140760276488836,,False
ENSG00000277597,ENSG00000277597,0.8978016923600459,0.0008649140277416662,0.04107207494694462,0.33449070595722064,0.7380093030069765,,False
ENSG00000277599,ENSG00000277599,0.045454545454545456,-4.070235021494363e-06,0.041415927647792186,9.486071450642193e-05,0.9999243121005821,,False
ENSG00000277602,ENSG00000277602,0.32954545454545453,-0.0014225651991959431,0.041159164152618326,-0.6199285212787371,0.5353048472778525,,False
ENSG00000277604,Y_RNA,0.022727272727272728,-4.945326945934303e-06,0.041471932359103174,7.542498281581357e-05,0.9999398195707695,,False
ENSG00000277605,Metazoa_SRP,0.44321902799820473,0.0002841718709764223,0.041210003832473516,0.14068899373394603,0.8881156403374036,,False
ENSG00000277610,RNVU1-4,0.22730993708911382,-0.000535737425468687,0.04108490639943656,-0.2148488783112444,0.8298851432431813,,False
ENSG00000277611,ENSG00000277611,0.011363636363636364,0.00013933150863207477,0.05873086203246636,0.022140944423873606,0.9823355255450124,,False
ENSG00000277617,Metazoa_SRP,0.31821902799820473,0.0005661313715588456,0.041311141181603325,0.24606386466147956,0.8056327950151994,,False
ENSG00000277619,ENSG00000277619,0.045454545454545456,-0.00045367346579416185,0.032553094644949127,-0.13365291987567746,0.8936770355356842,,False
ENSG00000277621,ENSG00000277621,0.045454545454545456,-4.315693773621479e-06,0.04140203157209477,0.00010833861851269056,0.9999135582891191,,False
ENSG00000277628,Metazoa_SRP,0.8864380559964095,0.0011443054708951384,0.04110357130991339,0.4484978222985052,0.6537939574726026,,False
ENSG00000277630,LOC100288966,0.0,,,,,,False
ENSG00000277631,PGM5P3-AS1,1.7841653287236823,0.0008598416786643148,0.040750275225655656,0.23763573718173242,0.8121636300984262,,False
ENSG00000277632,CCL3,1.7729505316255918,-0.0005643997378510873,0.0407164084253597,-0.15736270571893685,0.8749590037416229,,False
ENSG00000277634,Y_RNA,0.011363636363636364,0.00013933150863207515,0.058730862032466406,0.022140944423873384,0.9823355255450126,,False
ENSG00000277635,Metazoa_SRP,0.5114380559964095,-0.000286813955860612,0.04115256401627393,-0.14646672953560808,0.8835529526270886,,False
ENSG00000277636,MIR8061,0.056818181818181816,0.00011403846344672313,0.04412065309576377,0.03820576240756441,0.9695236265151773,,False
ENSG00000277639,CHD9NB,1.1023471469055004,-0.0014353179711818734,0.04099139532285452,-0.5013156813913691,0.6161489707699921,,False
ENSG00000277651,ENSG00000277651,0.42045454545454547,0.0002856005373062962,0.04121996129993442,0.13743881074956213,0.8906839555609698,,False
ENSG00000277653,ENSG00000277653,0.0,,,,,,False
ENSG00000277661,OR2W1-AS1,0.011363636363636364,-0.00015154476348883374,0.03391015766702554,-0.021999960423875912,0.9824479871082143,,False
ENSG00000277662,ENSG00000277662,0.9773471469055004,0.0005851518283431987,0.041020204517476885,0.21411760578152195,0.8304553467368125,,False
ENSG00000277666,ENSG00000277666,0.02276448254365925,-4.721335130269549e-06,0.04147797494996034,7.543958120948933e-05,0.9999398079229366,,False
ENSG00000277668,Metazoa_SRP,0.40916532872368216,-2.810703101155605e-07,0.04120199620298817,0.00044254107112429197,0.999646903323354,,False
ENSG00000277669,ENSG00000277669,0.17045454545454544,-0.0010325910672844875,0.0394188569761457,-0.4203247404616253,0.6742482387401844,,False
ENSG00000277675,ENSG00000277675,0.14772727272727273,0.00018125975953564905,0.04194206907288737,0.07476320330596217,0.9404031193545611,,False
ENSG00000277677,Metazoa_SRP,0.7841653287236823,-0.0014382012450123082,0.04109514976979434,-0.5939411687637265,0.552551462387529,,False
